Name,CC,Level,Skill,Affection,Cost Reduction,Note,Nickname
Machina,AW2v1,99,SAW,150,17(Min),Chem. E. Waifu,
Rinne,AW2v2,99,SAW,150,15(Min),Needo Healingu,
Shu-Xian,AW,99,SAW,150,14(Min),Pikachu Down-🅱️,
Diera,AW2v2,73,SAW,150,8(Min),Lofi Nature Sounds,
Towa,AW2v2,51,SAW,100,18,Witch Time Stahp,
Matsuri,AW2v2,88,5/5,100,12(Min),FIFO: Queue,
Risley,AW,99,SAW,150,4(Min),Local Shuri,
Frederica,AW2v2,99,SAW,150,31,Stars+Stripes 4Ever,
Tenma,AW,85,SAW,150,19,Older Megumin,
Miyabi,AW,99,SAW,150,5(Min),Morale Booster,
Aix,AW,99,SAW,150,17,Me-lyse,
Teeny,AW2v1,62,SAW,150,13,Size Joke Here,
Lapis,AW2v1,99,SAW,150,25(Min),Shiny Lapras,
Sanara (Platinum),AW,50,SAW,100,7(Min),Williams-Sanara,
Jin-Guang Sheng-Pu,AW,99,SAW,150,19(Min),Chem. E. Product,Sheng-Pu
